"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.6","","","","1"
"2016-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.9","","","","1"
"2016-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.5","","","","1"
"2016-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.2","","","","1"
"2016-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.5","","","","1"
"2016-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.4","","","","1"
"2016-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.3","","","","1"
"2016-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.3","","","","1"
"2016-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.4","","","","1"
"2017-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.2","","","","1"
"2017-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.0","","","","1"
"2017-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.2","","","","1"
"2017-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.8","","","","1"
"2017-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.6","","","","1"
"2017-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.1","","","","1"
"2017-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.6","","","","1"
"2017-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.9","","","","1"
"2017-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.7","","","","1"
"2017-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.8","","","","1"
"2017-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.6","","","","1"
"2017-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.6","","","","1"
"2018-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.3","","","","1"
"2018-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.3","","","","1"
"2018-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.3","","","","1"
"2018-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.0","","","","1"
"2018-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.9","","","","1"
"2018-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.7","","","","1"
"2018-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.0","","","","1"
"2018-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.6","","","","1"
"2018-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.4","","","","1"
"2018-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.2","","","","1"
"2018-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.2","","","","1"
"2018-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.2","","","","1"
"2019-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.2","","","","1"
"2019-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.1","","","","1"
"2019-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.3","","","","1"
"2019-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.9","","","","1"
"2019-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.5","","","","1"
"2019-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.3","","","","1"
"2019-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.0","","","","1"
"2019-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.4","","","","1"
"2019-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.1","","","","1"
"2019-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.0","","","","1"
"2019-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.4","","","","1"
"2019-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.1","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.9","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.0","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.9","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","14.0","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","14.3","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","11.9","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","11.4","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","11.1","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.4","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.2","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.0","","","","1"
"2020-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.2","","","","1"
"2021-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","9.9","","","","1"
"2021-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.8","","","","1"
"2021-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.2","","","","1"
"2021-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.4","","","","1"
"2021-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.4","","","","1"
"2021-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.4","","","","1"
"2021-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.7","","","","1"
"2021-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.1","","","","1"
"2021-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.5","","","","1"
"2021-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.9","","","","1"
"2021-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.7","","","","1"
"2021-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.5","","","","1"
"2022-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.0","","","","1"
"2022-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.7","","","","1"
"2022-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.7","","","","1"
"2022-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.5","","","","1"
"2022-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.1","","","","1"
"2022-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","4.7","","","","1"
"2022-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.2","","","","1"
"2022-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.0","","","","1"
"2022-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","4.8","","","","1"
"2022-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","4.7","","","","1"
"2022-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","4.7","","","","1"
"2022-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","4.5","","","","1"
"2023-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.5","","","","1"
"2023-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.3","","","","1"
"2023-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.4","","","","1"
"2023-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.2","","","","1"
"2023-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","5.2","","","","1"
